 Z	1145
13	1106
35	1099
Ib	1130
b.	1185
Ai	1155
c'	1060
' 	1142
s'	1142
oz	1111
28	1096
lc	2161
hb	1105
TW	1122
kf	1167
Fl	1147
sL	1137
wy	1114
g!	1014
ET	1110
hm	2197
dh	1107
c,	1110
Ob	1057
uB	1153
C.	1106
YC	1106
NY	1106
1t	1127
kd	1104
62	1079
q 	1074
aq	1074
Ir	1074
nh	1192
bd	1143
u!	1212
g-	1113
E?	1208
NE	1208
-e	1107
40	1138
W.	1165
FW	1165
y!	3513
cN	2249
Up	1182
X-	1117
.2	1085
90	2278
12	1119
IT	1210
R.	1086
WR	1086
0t	1153
9e	1111
Ea	2268
2n	1184
01	3372
Or	2242
NG	1132
ID	1163
-u	1160
K,	1186
 V	4541
CE	1149
4.	1090
v4	1090
OS	1090
V 	1162
MV	1162
pg	2293
i,	1107
cm	1170
EP	1186
AE	1186
K 	3438
UK	1186
dc	1149
hl	2304
I,	1184
2.	1191
Ed	2298
KN	1153
M.	5711
sf	2278
.1	1072
ij	2194
rb	4512
Az	2229
1P	1119
Ot	1069
w,	1036
m'	1119
F 	1073
AF	1073
RA	1073
FY	2330
U 	1133
XU	1133
Kn	1050
wl	5686
rB	1102
20	6794
db	1174
df	1070
T.	1142
OT	1142
tf	1058
vk	1058
29	2264
Ga	11273
AM	4562
K.	4577
ji	1111
 9	2351
8 	3386
-P	1122
nm	2228
G.	1159
OK	6829
8.	1103
38	2266
p,	2250
Sp	4539
tp	4505
dt	1125
Mu	1198
je	4535
oj	2304
9 	2260
Fu	2300
zy	2365
bb	4529
0,	1072
Ri	6866
vy	2176
- 	7723
 -	7723
x.	3343
ox	1100
8P	1136
IC	1149
00	5701
45	1139
G 	2273
ym	4568
TT	2352
Ol	1078
.5	1078
Ox	1128
16	1154
 z	1163
n!	2323
r-	4495
-y	1096
4-	1096
QB	1113
 Q	3415
-f	1113
Bl	2362
f!	1140
uv	1131
e-	7843
70	1095
uf	6953
rh	2291
La	13656
r?	12467
 K	13992
lu	30685
br	21561
Ap	3344
rt	146320
P.	2307
AP	2316
s 	1286497
pp	58172
WI	1149
On	12811
pm	4423
 O	20176
lb	1195
en	459136
FO	1104
mp	46532
Em	5526
Hu	2242
 A	40835
uc	40959
hr	23826
ey	69827
ba	122206
AB	1128
SC	1032
s,	27184
up	94717
sa	124837
rw	13755
l'	1092
  	5545
ml	1135
c 	19442
Br	21396
zs	1139
ja	2266
fs	2248
ia	79481
Pu	2247
ic	202115
75	2228
xp	38832
va	54376
ig	107407
ae	4500
r 	564013
5?	1156
ek	73875
-C	1148
eq	10268
Cu	3317
ap	63986
24	2299
Oa	2305
 j	46085
l.	44007
n 	877647
iv	103405
Ad	2287
nc	128958
h,	3358
 g	281396
l 	452142
6 	4519
Pl	33254
1.	5527
 2	21634
cy	7908
sw	13791
ef	64723
 H	28485
17	3360
vo	30717
Ja	16913
Ju	18141
ls	62231
ld	163013
ci	80440
on	746467
ol	98987
if	110643
ky	5678
If	17038
RB	2245
ye	77009
ff	84601
g,	2233
Mi	25173
wi	275233
we	265226
es	463751
lt	15698
ev	101616
ub	13466
ns	156193
 u	138248
su	104310
eg	37522
n.	109712
Un	4513
Sa	17882
gi	47849
rg	37301
mi	113588
CI	1141
rs	161073
er	783460
W?	1122
Lo	10094
ce	241894
d 	972889
lf	7881
C1	1096
t,	9071
un	150354
be	309295
ke	152499
Ni	5843
ak	70857
ov	79831
g.	62117
S.	1192
ao	2205
4h	1148
or	553968
 T	56834
bu	38005
nn	45779
ur	274583
gr	61738
u.	17128
73	1135
ie	124544
Ac	1170
wr	3263
Na	7954
po	124117
im	129223
7.	2169
Bi	6682
d?	10477
kn	83470
ok	37173
Av	8174
Tw	3319
kl	10293
7,	1127
Is	8062
rl	29021
og	23988
fu	37554
yd	1175
ee	348618
ny	76575
fo	241447
mf	1161
sd	29266
r.	101856
vi	92877
ai	191772
Ty	1142
h?	3406
fe	81897
us	167033
Gr	5783
mo	122797
h 	196575
sh	115292
uo	1075
Am	10116
am	132476
sy	30496
 k	107461
ib	20468
Ro	5628
ay	276298
ch	164867
 l	304713
af	42338
ue	83325
ft	47958
mm	23548
to	633414
ho	215487
TK	1186
ew	44260
-r	2230
 a	1161993
he	1119142
Ar	18346
 D	35102
ow	265519
ka	6847
Fr	22669
ws	10365
Ye	5787
k'	5808
go	112114
op	96551
Ph	2287
-E	2195
1 	7893
dv	10113
Va	2324
-s	2226
om	221579
'm	47418
mu	32758
Oc	6688
eo	21584
ve	473104
ma	170475
yl	3455
od	95015
I'	96096
C 	1149
pr	147314
T 	2320
 d	333344
t 	1277146
Ds	1163
um	41050
Af	1049
nw	2224
s?	18788
wa	205959
za	3426
A 	16974
de	199221
at	518681
xt	30710
O 	3285
 N	20358
yb	11459
7 	1121
hu	32952
gy	5757
He	89896
na	98168
fr	58446
I 	356175
hn	11533
ne	340115
te	429479
Ve	2331
Ev	4708
f 	266172
ag	98227
nd	408919
 L	11229
xl	1128
 W	32535
al	348931
i 	8897
as	439702
x 	13764
11	2216
 f	438478
ei	60838
AS	1121
it	408060
Po	5749
pu	30454
Qu	2302
U.	2352
